Purchasing Document,Item,Plant,Name 1,Vendor,Name 1,Address,Street,City,PO Box,P.O. Box Postal Code,Postal Code,Region,Tax Number 1,Tax Number 2,Telephone 1,Telephone 2,Supplying Vendor,Name 1,Address,Street,City,PO Box,P.O. Box Postal Code,Postal Code,Region,Tax Number 1,Tax Number 2,Telephone 1,Telephone 2,Material,Short Text,Material Group,Material Group Desc.,Document Date,Order Quantity,Order Unit,Net Order Price,Price Unit,Net Order Value,Purchasing Doc. Type,Currency,Deletion Indicator,Material Type
4500836860,80,1259,"SFD-Saint James, MN",1002826,BUNZL PROCESSOR DISTRIBUTION LLC,83078,528 E 19TH AVE,NORTH KANSAS CITY,0,0,64116-3614,MO,0,44-0580496,800-456-5024,816-448-6250,500975,BUNZL PROCESSOR-KANSAS CITY MO,91161,11201 NW AIRWORLD DR,KANSAS CITY,0,0,64116-3614,MO,0,44-0580496,800-456-5024,816-448-6250,L0040141,"EARPLUG,FLNG,NRR25,7000052728,3M",M0530,PPE/SAFETY,10/27/20,"2,000.000",EA,0.59,1,"1,180.00",NB,USD,,ZOPS
4500877891,10,1266,"SFD-Curlys Sioux City, IA",2025,CARGILL MEAT SOLUTIONS CORP,83364,600 S IOWA AVE,OTTUMWA,310,52501-0310,52501-3657,IA,0,75-1449430,515-682-8532,0,500055,CARGILL MEAT-HIGH RIVER,75681,472 & AVE,HIGH RIVER,310,52501-0310,52501-3657,IA,0,75-1449430,515-682-8532,0,90704051901301,"RAW,BF,RND,UTILITY,CAPOFF,FR,CS",R0101,Beef Muscle,12/14/20,22,CBO,329.00,100,"130,284.00",NB,USD,,ZFIN
4500878897,10,1266,"SFD-Curlys Sioux City, IA",1002874,MAPLE LEAF FRESH FOODS,97827,6985 FINANCIAL DR,MISSISSAUGA,0,0,L5N 0A1,ON,0,89-9843635,905-285-5000,0,500011,MAPLE LEAF FRESH FOODS,75586,6255 RICHMOND AVE E,BRANDON,0,0,L5N 0A1,ON,0,89-9843635,905-285-5000,0,90704051901721,"RAW,PK,ABF,BUTT,BNLS,DEFAT,FR,CBO,RW",R0303,Pork Trim,12/15/20,22,CBO,142.00,100,"56,232.00",NB,USD,,ZFIN
4500883029,60,1268,"SFD-Springdale, OH",1002393,AMCOR FLEXIBLES NORTH AMERICA INC,97866,0,CHARLOTTE,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,500193,AMCOR FLEXIBLES-OSKOSH,99066,3550 N MAIN ST,OSHKOSH,75100,28275-0100,28275,NC,0,43-0178130,812-466-2216,813-460-6370,P0360309,"FILM,NF,2.5,PRN,JM,BTB,FRKS",P0405,Film-NonForming Pln,12/21/20,"79,992.000",EA,52.53,"1,000","4,201.98",NB,USD,,ZPKG
4500884489,10,5179,"SFD-Edwardsville DC, KS",2312,VH COOPER & COMPANY INC,83030,6793 US ROUTE 127,VAN WERT,0,0,45891-9601,OH,0,34-1176077,0,0,501029,COOPER FARMS-SAINT HENRY OH,151647,1 COOPER FARM DR,SAINT HENRY,0,0,45891-9601,OH,0,34-1176077,0,0,10039073042140,"LM,KRET,T-BRST,HNY,SMKD,2/9.125#,OTB,RW",F0521,Deli Poultry,12/22/20,200,CS,2.68,1,"9,782.00",NB,USD,,ZFIN
4500884489,50,5179,"SFD-Edwardsville DC, KS",2312,VH COOPER & COMPANY INC,83030,6793 US ROUTE 127,VAN WERT,0,0,45891-9601,OH,0,34-1176077,0,0,501029,COOPER FARMS-SAINT HENRY OH,151647,1 COOPER FARM DR,SAINT HENRY,0,0,45891-9601,OH,0,34-1176077,0,0,10039073081330,"LM,KRET,T-BRST,OTB,14/8Z,PSLC",R0402,Turkey MST,12/22/20,240,CS,3.84,1,"6,451.20",NB,USD,,ZFIN
4500884489,60,5179,"SFD-Edwardsville DC, KS",2312,VH COOPER & COMPANY INC,83030,6793 US ROUTE 127,VAN WERT,0,0,45891-9601,OH,0,34-1176077,0,0,501029,COOPER FARMS-SAINT HENRY OH,151647,1 COOPER FARM DR,SAINT HENRY,0,0,45891-9601,OH,0,34-1176077,0,0,10039073081514,"LM,KRET,HAM,OTB,14/8Z,PSLC",F0530,Hams-CookIn Bag,12/22/20,240,CS,3.59,1,"6,031.20",NB,USD,,ZFIN
4500884489,70,5179,"SFD-Edwardsville DC, KS",2312,VH COOPER & COMPANY INC,83030,6793 US ROUTE 127,VAN WERT,0,0,45891-9601,OH,0,34-1176077,0,0,501029,COOPER FARMS-SAINT HENRY OH,151647,1 COOPER FARM DR,SAINT HENRY,0,0,45891-9601,OH,0,34-1176077,0,0,90039073040500,"LM,KRET,MCT,T-BRST,SDRD,TMTO,2/5#,RW",F0588,Turkey,12/22/20,200,CS,2.88,1,"5,760.00",NB,USD,,ZFIN
4500884489,80,5179,"SFD-Edwardsville DC, KS",2312,VH COOPER & COMPANY INC,83030,6793 US ROUTE 127,VAN WERT,0,0,45891-9601,OH,0,34-1176077,0,0,501029,COOPER FARMS-SAINT HENRY OH,151647,1 COOPER FARM DR,SAINT HENRY,0,0,45891-9601,OH,0,34-1176077,0,0,90039073042085,"LM,KRET,T-BRST,ORST,2/8#,OTB,RW",F0521,Deli Poultry,12/22/20,500,CS,2.70,1,"21,600.00",NB,USD,,ZFIN
4500884489,90,5179,"SFD-Edwardsville DC, KS",2312,VH COOPER & COMPANY INC,83030,6793 US ROUTE 127,VAN WERT,0,0,45891-9601,OH,0,34-1176077,0,0,501029,COOPER FARMS-SAINT HENRY OH,151647,1 COOPER FARM DR,SAINT HENRY,0,0,45891-9601,OH,0,34-1176077,0,0,90039073042122,"LM,KRET,T-BRST,BLKFRST,2/9#,RW",F0521,Deli Poultry,12/22/20,200,CS,2.45,1,"8,820.00",NB,USD,,ZFIN
4500886777,10,1273,"SFD-Lincoln,NE",1002772,TATE & LYLE INGREDIENTS AMERICAS,84066,2200 E ELDORADO ST,DECATUR,0,0,62521-1578,IL,0,37-1168475,217-423-4411,0,500523,TATE & LYLE DISTRIBUTION,79540,4464 VETERANS MEMORIAL PKWY,LAFAYETTE,0,0,62521-1578,IL,0,37-1168475,217-423-4411,0,S0400359,"DEXTROSE,LIQ,95DE,BULK",I0218,Ing-Sweeteners,12/28/20,"48,000.000",LB,22.91,100,"10,996.80",NB,USD,,ZING
4500889528,10,1234,"SFD-Crete,NE",1000725,PURAC AMERICA INC,73736,7905 QUIVIRA RD,LENEXA,0,0,66215-2732,KS,0,52-2006028,800-669-4092,847-634-6330,500894,PURAC AMERICA INC BLAIR NE,86792,650 INDUSTRIAL PARK DR,BLAIR,0,0,66215-2732,KS,0,52-2006028,800-669-4092,847-634-6330,S1038384,"LACTATE,POT,ACE37%L-LAC18.5%ACE P40,2756",I0200,Ing-Antimicrob,12/30/20,"5,511.550",LB,49.50,100,"2,728.22",NB,USD,,ZING
4500889528,20,1234,"SFD-Crete,NE",1000725,PURAC AMERICA INC,73736,7905 QUIVIRA RD,LENEXA,0,0,66215-2732,KS,0,52-2006028,800-669-4092,847-634-6330,500894,PURAC AMERICA INC BLAIR NE,86792,650 INDUSTRIAL PARK DR,BLAIR,0,0,66215-2732,KS,0,52-2006028,800-669-4092,847-634-6330,S1037291,"LACTATE,POT,DIACETATE-SOD,ACE,P37,2899#",I0200,Ing-Antimicrob,12/30/20,"34,788.904",LB,49.50,100,"17,220.51",NB,USD,,ZING
4500891606,10,1266,"SFD-Curlys Sioux City, IA",1004058,MULTIVAC INC,98217,11021 N POMONA AVE,KANSAS CITY,0,0,64153-1146,MO,0,43-1452397,800-877-5200,0,500512,DUPONT TEIJIN FILMS,102476,5401 JEFFERSON DAVIS HWY,RICHMOND,0,0,64153-1146,MO,0,43-1452397,800-877-5200,0,M0379448,"DIAPHRAGM,SD,120X460,UPPER,19010249460,M",M0601,OEM PARTS & SERVICES,1/4/21,8.000,EA,187.39,1,"1,499.12",NB,USD,,ZXPT
4500894217,30,1260,"SFD-Mason City, IA",2430,KANSAS CITY SAUSAGE COMPANY,83293,8001 NW 106TH ST,KANSAS CITY,0,0,64153-2379,MO,0,46-2679590,0,0,501101,IOWA COLD STORAGE-ALTOONA IA,2565176,612 ADVENTURELAND DR,ALTOONA,0,0,64153-2379,MO,0,46-2679590,0,0,90070247211562,"HAM,HAM96,BLUE,KNUX ONLY,CHEP PLT,CBO,RW",F0527,Hams,1/6/21,4,CBO,124.80,100,"9,784.32",NB,USD,,ZFIN
4500896211,10,1266,"SFD-Curlys Sioux City, IA",1001948,PECO FOODS INC,74307,1101 GREENSBORO AVE,TUSCALOOSA,1760,35403-1760,35401-2826,AL,0,63-0574021,205-345-4711,0,500032,PECO FOODS INC,77671,559 E MAIN ST,BROOKSVILLE,1760,35403-1760,35401-2826,AL,0,63-0574021,205-345-4711,0,90704051901653,"RAW,CKN,BNLS,WHT,CHNK,5%,FR,CBO",R0202,Chicken Other,1/8/21,22,CBO,80.00,100,"31,680.00",NB,USD,,ZFIN
4500899859,10,1273,"SFD-Lincoln,NE",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500518,WRKCO INC-SIOUX CITY SOUTH,102604,2300 BRIDGEPORT DR,SIOUX CITY,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1035207,"BOX,PLN,23.25X15 3/16X9 7/8,BLISS BODY",P0202,Box-Die Cut Case Erc,1/13/21,"7,560.000",EA,804.89,"1,000","6,084.97",NB,USD,,ZPKG
4500900727,10,1232,"SFD-Sioux Falls, SD",1018457,RELIANT DRY ICE LTD,75143,10817 W COUNTY ROAD 60,MIDLAND,0,0,79707,TX,0,75-2962923,432-617-4229,0,500912,RELIANT DRY ICE LTD,93667,1182 260TH ST,SERGEANT BLUFF,0,0,79707,TX,0,75-2962923,432-617-4229,0,P5001520,"ICE,DRY,BULK",P0040,Gas-Incl Cryogenic,1/13/21,"43,000.000",LB,7.35,100,"3,160.50",NB,USD,,ZPKG
4500902960,10,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1507024A,"BX,12PAK,12.125X9.625X6.25,RTE BCN",P0208,Box-RSC,1/15/21,"9,000.000",EA,249.41,"1,000","2,244.69",NB,USD,,ZPKG
4500902960,20,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1207075A,"BX,16PAK,12.125X9.625X8.5625,RTE BCN",P0208,Box-RSC,1/15/21,"3,750.000",EA,310.84,"1,000","1,165.65",NB,USD,,ZPKG
4500902960,30,1265,"SFD-Sioux Center, IA",1023500,WRKCO INC,1015534,1000 ABERNATHY RD STE 125,ATLANTA,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,500746,WRKCO INC-NORCROSS,85966,504 THRASHER ST,NORCROSS,0,0,30328-5639,GA,0,47-3335141,770-448-2193,0,P1207096,"BX,PRN,21207096",P0208,Box-RSC,1/15/21,"1,500.000",EA,241.48,"1,000",362.22,NB,USD,,ZPKG
